POLYGON_NUMBER,COOL_LOW,COOL_HIGH,NEUTRAL_LOW,NEUTRAL_HIGH,WARM_LOW,WARM_HIGH,BECLABEL
121,2050,10000,2100,10000,2150,10000,AT  un
121,1850,2050,1900,2100,1950,2150,ESSFwcp
121,1700,1850,1750,1900,1800,1950,ESSFwcw
121,1450,1700,1500,1750,1550,1800,ESSFwc 3
121,1250,1450,1275,1500,1300,1550,ESSFwk 2
121,0,1250,0,1275,0,1300,ICH wk 4
122,2200,10000,2200,10000,2250,10000,AT  un
122,1950,2200,1975,2200,2000,2250,ESSFwcp
122,1700,1950,1750,1975,1800,2000,ESSFwcw
122,1450,1700,1500,1750,1550,1800,ESSFwc 3
122,1250,1450,1275,1500,1300,1550,ESSFwk 1
122,950,1250,950,1275,950,1300,SBS vk
122,0,950,0,950,0,950,ICH wk 4
123,2000,10000,2050,10000,2075,10000,AT  un
123,1825,2000,1875,2050,1900,2075,ESSFwcp
123,1650,1825,1700,1875,1725,1900,ESSFwcw
123,1450,1650,1500,1700,1550,1725,ESSFwc 3
123,1250,1450,1275,1500,1300,1550,ESSFwk 1
123,0,1250,0,1275,0,1300,ICH wk 3
124,2200,10000,2225,10000,2250,10000,AT  un
124,1900,2200,1900,2225,1950,2250,ESSFmmp
124,1600,1900,1650,1900,1675,1950,ESSFmmw
124,1450,1600,1500,1650,1525,1675,ESSFmm 2
124,1250,1450,1275,1500,1300,1525,ESSFwk 1
124,0,1250,0,1275,0,1300,SBS vk
131,2100,10000,2150,10000,2200,10000,AT  un
131,1900,2100,1950,2150,2000,2200,ESSFmmp
131,1750,1900,1800,1950,1850,2000,ESSFmmw
131,1300,1750,1375,1800,1550,1850,ESSFmm 2
131,800,1300,800,1375,800,1550,ICH mm
131,0,800,0,800,0,800,SBS dh1
